reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
637775,637775,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",C11H12O5,224.21,C00482 ,,,,
638024,638024,"(2E,4E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one",C17H19NO3,285.34,C03882 ,,,,
10151,10151,"1,4,5-trihydroxy-2-methylanthracene-9,10-dione ",C15H10O5,270.24,C16796 ,,,,
91466,91466,"(1R,2R,9S,17S)-7,13-diazatetracyclo[7.7.1.02,7.013,17]heptadecan-6-one",C15H24N2O,248.36,C10774 ,,,,
72503,72503,"(1R,4aS,8aS)-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalene-1,2-dicarbaldehyde",C15H22O2,234.33,C09712 ,,,,
5318998,5318998,(E)-3-[4-hydroxy-2-methoxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-hydroxyphenyl)prop-2-en-1-one,C21H22O4,338.4,Not available,,,,
5280699,5280699,"2-(3,4-dihydroxyphenyl)-5-hydroxy-3,6,7-trimethoxychromen-4-one ",C18H16O8,360.3,C04552 ,,,,
5280863,5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one ",C15H10O6,286.24,C05903 ,,,,
5320083,5320083,"3,9-dihydroxy-1-methoxy-2-(3-methylbut-2-enyl)-[1]benzofuro[3,2-c]chromen-6-one ",C21H18O6,366.4,C16968 ,,,,
51029223,,,,,,,,,
5321288,,,,,,,,,
5280666,,,,,,,,,
5154,5154,"24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene",C20H14NO4+,332.3,C06162 ,,,,
5281813,5281813,"1,8,9-trihydroxy-3-methoxy-[1]benzofuro[3,2-c]chromen-6-one ",C16H10O7,314.25,C10541 ,,,,
5281792,5281792,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxypropanoic acid",C18H16O8,360.3,C01850 ,,,,
5281801,5281801,"3-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one ",C15H10O6,286.24,C10510 ,,,,
5281803,5281803,"5,7-dihydroxy-3-(3-hydroxy-4-methoxyphenyl)chromen-4-one ",C16H12O6,300.26,C10520 ,,,,
5281255,5281255,"(E)-1-[2,4-dihydroxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",C20H20O4,324.4,C08648 ,,,,
5280961,5280961,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one ",C15H10O5,270.24,C06563 ,,,,
5280443,5280443,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one ",C15H10O5,270.24,C01477 ,,,,
5277586,5277586,"5,7-dihydroxy-8-(3-methylbut-2-enyl)-6-(2-methylpropanoyl)-4-phenylchromen-2-one ",C24H24O5,392.4,Not available,,,,
44257097,44257097,"1-[3-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]-2-methylpropan-1-one",C28H30O10,526.5,Not available,,,,
44257098,44257098,"1-[3-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]butan-1-one",C28H30O10,526.5,Not available,,,,
44257096,44257096,"1-[3-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]-2-methylbutan-1-one",C29H32O10,540.6,Not available,,,,
5281222,5281222,"(E)-1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)prop-2-en-1-one",C15H12O5,272.25,C08578 ,,,,
503731,503731,"4-[6-hydroxy-4-methoxy-5-(3-methylbut-2-enyl)-1-benzofuran-2-yl]benzene-1,3-diol ",C20H20O5,340.4,Not available,,,,
442670,442670,"5-hydroxy-3-(4-hydroxy-2-methoxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one ",C17H16O6,316.3,C10204 ,,,,
442674,442674,"2-[(4R,5S,7R,25S,26R,29S,30S,31S)-13,14,15,18,19,20,31,35,36-nonahydroxy-2,10,23,28,32-pentaoxo-5-(3,4,5-trihydroxybenzoyl)oxy-3,6,9,24,27,33-hexaoxaheptacyclo[28.7.1.04,25.07,26.011,16.017,22.034,38]octatriaconta-1(37),11,13,15,17,19,21,34(38),35-nonaen-29-yl]acetic acid",C41H30O27,954.7,C10214 ,,,,
